jun-62,0,0,0,0,0,0,0,0,0,0,0,0,12.0923881,291.2250134,1346.285875,2325.769311,2795.357049,3138.982411,3177.274973,2675.440867,2487.001153,1718.126809,1824.942904,2140.352694,3138.982411,3069.451179,2635.132907,1158.85386,390.9872152,66.50813455,14.10778612,0,0,0,0,0,0
jul-62,0,0,0,0,0,0,0,0,0,0,0,0,6.052433242,57.4981158,420.6441103,964.3543632,1420.304334,1560.519038,2017.477747,1873.228088,1900.464038,1454.601456,1594.816159,1856.079528,3044.373921,2785.12803,2263.610033,1118.691411,380.2945554,66.57676566,7.061172116,0,0,0,0,0,0
ago-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.039853707,58.46230301,229.8173291,548.3360834,725.7389339,1207.548948,1259.963427,1588.561889,1618.801011,2207.455924,2319.340676,2281.037788,1028.130156,381.0129403,76.60577635,16.12753186,2.015941483,0,0,0,0,0
sep-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.017455725,41.35784237,174.5099202,523.5297607,827.1568473,1249.813822,1327.485867,1564.536915,1285.119297,1743.081747,2391.693762,2836.54275,1795.535595,735.3626118,193.6757496,10.08727863,0,0,0,0,0,0
oct-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.008968411,33.29595757,300.6725866,1228.923525,2414.461408,3043.048729,1829.25973,2361.995051,2567.824607,4001.568719,3071.299844,1991.703644,580.1568365,90.80715702,2.017936823,0,0,0,0,0
nov-62,0,0,0,0,0,0,0,0,0,0,0,0,0,10.73907256,6.443443537,11.81297982,7.517350793,3.221721768,111.6863546,511.1798539,1495.952808,3104.665878,3860.696586,5947.298385,7079.196633,6845.084851,5077.433507,2834.041249,1434.740094,381.2370759,62.28662086,7.517350793,0,0,0,0,0
dic-62,0,0,0,0,0,0,0,0,0,0,6.037768342,18.11330503,94.59170403,239.4981442,224.4037234,188.1771133,56.35250453,55.3462098,24.15107337,14.08812613,132.8309035,568.5565189,1972.337658,3716.246415,6043.80611,6832.741174,7630.73289,5619.149737,2891.084741,737.6140325,142.8938508,8.050357789,2.012589447,0,0,0,0
ene-63,0,0,0,0,0,0,0,0,0,4.030697739,35.26860521,151.1511652,378.8855874,470.583961,601.5816375,733.5869885,1072.165599,1095.342111,688.2416389,423.2232626,916.9837356,2053.640498,4358.19193,5359.820318,7172.626626,6206.266843,5689.329858,3668.942617,1717.077237,413.1465182,45.34534956,5.038372173,0,0,0,0,0
feb-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.006057884,0,1.006057884,85.51492011,128.7754091,107.6481935,107.6481935,156.9450298,687.1375345,1142.881756,1844.104101,2048.333851,2036.261156,1561.401835,917.5247899,301.8173651,54.32712572,4.024231534,0,0,0,0,0
mar-63,0,0,0,0,0,0,0,0,0,0,37.33526182,218.9662653,783.0314372,1857.681541,1872.817458,1722.46735,1400.576849,1595.325647,1597.343769,1190.692134,1301.688858,2256.260688,4625.536222,5065.486874,6346.99451,4712.315479,3689.127493,1675.041476,750.741481,247.2199769,31.28089504,2.018122261,0,0,0,0,0
abr-63,0,0,0,0,0,0,0,0,0,0,4.030417238,15.11406464,47.35740254,339.5626523,1052.946503,2239.90438,3117.527733,3819.827937,3314.010574,1983.972885,1571.862723,1118.440783,2675.189441,4375.017911,6840.625656,5936.804591,3770.455326,1671.615549,791.9769872,189.4296102,39.29656807,0,0,0,0,0,0
may-63,0,0,0,0,0,0,0,0,3.047455688,15.99914236,79.99571182,204.1795311,370.2658661,531.7810176,898.2375641,1476.492281,2011.320754,2190.358776,3119.070897,3049.74128,2466.91538,1523.727844,1467.349914,2943.080331,5435.13722,5758.167523,4329.672669,1989.988564,737.4842766,175.2287021,29.71269296,9.142367065,0,0,0,0,0
jun-63,0,0,0,0,0,0,0,0,0,0,0,19.09782008,89.45820985,307.5754181,672.4442965,1244.373751,1836.406173,2649.571249,3188.330805,3512.993746,3188.330805,2152.022779,1891.689336,2339.985534,3551.189387,3222.505851,2488.747501,1324.785625,564.893415,140.7207795,29.14930433,5.025742126,0,0,0,0,0
jul-63,0,0,0,0,0,0,0,0,0,0,0,0,13.10258372,30.23673166,66.52080965,128.002164,341.6750677,451.5351927,669.2396607,779.0997857,1150.003694,1061.309281,1180.240426,993.7805805,1381.818637,1419.110606,1274.982185,624.8924542,220.7281411,51.40244382,3.023673166,0,0,0,0,0,0
ago-63,0,0,0,0,0,0,0,0,0,0,0,0,2.014100075,2.014100075,38.26790142,76.53580284,208.4593577,381.6719641,554.8845706,666.6671247,824.7739806,1003.021837,1136.959492,1091.64224,1538.772457,1486.405855,1144.008842,578.0467214,268.88236,64.45120239,13.09165048,2.014100075,0,0,0,0,0
sep-63,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0545393,30.18179767,53.32117588,117.7090109,179.0786661,334.0118942,483.9148226,861.1872934,1277.696101,1429.611149,1657.986752,2305.889342,2241.501507,1555.36864,693.1752864,285.7210179,66.39995486,9.0545393,0,0,0,0,0,0
oct-63,0,0,0,0,0,0,0,0,0,0,0,64.35580171,34.18901966,62.34468291,21.11674744,14.07783162,44.24461368,85.47254915,228.2619842,608.363438,1446.999979,2648.643464,3548.619129,4324.910987,3891.514885,2586.298781,1320.299494,439.4294586,164.9117419,17.09450983,20.11118803,0,0,0,0,0,0
nov-63,0,0,0,0,0,0,0,2.015402287,39.3003446,38.29264346,141.0781601,166.2706887,303.3180442,542.1432153,653.9980422,587.4897668,639.8902262,461.5271238,272.0793088,191.4632173,561.289537,1818.900564,3779.88699,5534.294681,7321.95651,5590.725945,3366.729521,1248.541717,470.5964341,77.59298806,4.030804575,0,0,0,0,0,0
dic-63,0,0,0,0,0,0,0,7.051535784,24.17669412,127.9350064,350.5620647,749.4775176,1365.983218,2263.542987,2939.48306,3356.531033,3003.954244,2264.550349,1836.421391,905.6186671,538.9388064,656.8001902,2083.225143,4352.812303,7312.442608,7083.771376,4366.915375,1691.361226,606.4320774,87.64051617,24.17669412,2.01472451,0,0,0,0,0
ene-64,0,0,0,0,0,0,0,33.27102551,215.7575594,553.5088789,1324.791743,1591.96816,2213.027303,3222.24841,4405.890348,4596.442585,4215.338111,3812.052953,4238.527007,5113.6558,6113.802991,7105.884479,9485.266909,10279.73867,9058.792855,5328.405146,2983.301954,856.9809601,197.6097273,34.2792384,3.024638683,0,0,0,0,0,0
feb-64,0,0,0,0,0,0,0,0,36.29033888,191.5323441,587.7018769,1724.799162,3233.87242,5709.679984,7659.277634,8289.318239,8089.721375,6149.19631,5434.478247,4683.469846,3974.800172,3655.243577,4433.469733,4575.606894,4002.017927,2527.218877,1280.242511,324.59692,78.62906757,13.1048446,0,0,0,0,0,0,0
mar-64,0,0,0,0,0,0,0,0,0,7.063835382,50.45596701,284.5716539,864.8152746,2167.588343,4855.882265,8801.538886,11771.3771,12114.47768,11565.51676,8549.259051,7881.222047,6742.935432,5823.627713,4432.052142,4363.432027,3434.033115,1854.761347,572.1706659,130.1763949,23.20974483,3.027358021,0,0,0,0,0,0
abr-64,0,0,0,0,0,0,0,0,0,3.025618942,8.068317179,13.11101542,59.5038392,282.3911013,809.8573369,2074.566055,4471.864797,6965.983345,9338.068595,8819.679217,8641.167699,7943.258263,7386.544378,4965.040684,3775.97244,2438.648867,1544.0742,503.2612841,147.2467885,11.09393612,3.025618942,0,0,0,0,0,0
may-64,0,0,0,0,0,0,0,0,0,6.048135039,50.40112533,72.57762047,72.57762047,41.32892277,74.59366548,222.7729739,922.3405935,2184.384772,4411.106489,5901.971776,7004.748398,6739.638479,5981.605554,4421.186714,3614.768708,1928.347055,1274.140448,424.3774753,112.8985207,18.14440512,0,0,0,0,0,0,0
